Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
46112,52279,73938,2652,http://data.gesis.org/claimskg/creative_work/481ebeac-d197-5aab-aefa-04e241c76dc4,"After only 10 days in office, Joe Biden sent the United States back 50 years on its progress toward energy independence.",snopes,English,MIXTURE,2,"10 days, Joe Biden, United States","['10 days', ' Joe Biden', ' United States']",3.0,21,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
46464,52633,12326,978,http://data.gesis.org/claimskg/creative_work/210fa2ea-7d1a-5b52-804f-bbf6e4712d63,Biden's Keystone XL pipeline reversal will cost tens of thousands of jobs,factcheck_afp,English,FALSE,1,"Biden, Keystone XL, tens of thousands","['Biden', ' Keystone XL', ' tens of thousands']",3.0,12,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
46819,52997,73338,2052,http://data.gesis.org/claimskg/creative_work/1c35055a-6a99-5173-b42b-22d15e107c82,U.S. 2020 Democratic presidential candidate Joe Biden does not support the set of climate change proposals set forth by other members of his party known as the Green New Deal.,snopes,English,MIXTURE,2,"Green New Deal, climate change, presidential candidate Joe Biden","['Green New Deal', ' climate change', ' presidential candidate Joe Biden']",3.0,30,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
47208,53388,44089,5262,http://data.gesis.org/claimskg/creative_work/fbe78480-fb5e-5745-9ef9-f13cf76a763e,"Obama, Biden and their liberal allies oppose clean coal.",politifact,English,False,1,"Biden, Obama, clean coal","['Biden', ' Obama', ' clean coal']",3.0,9,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
48010,54197,45592,6765,http://data.gesis.org/claimskg/creative_work/209baf7b-311b-57d6-b4f7-880d33a6b18a,The Biden administration ignores the negative environmental impact created by lithium mining.,politifact,English,False,1,"Biden administration, lithium mining, negative environmental impact","['Biden administration', ' lithium mining', ' negative environmental impact']",3.0,12,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
48490,54738,42871,4044,http://data.gesis.org/claimskg/creative_work/3e8d6b15-f6e4-5538-b9ce-ec3bceef3a55,"Democrats, including President Joe Biden, stopped domestic drilling for oil, driving gasoline prices higher.",politifact,English,False,1,"President Joe Biden, drilling for oil, gasoline prices","['President Joe Biden', ' drilling for oil', ' gasoline prices']",3.0,14,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
49289,55617,43160,4333,http://data.gesis.org/claimskg/creative_work/8b000135-62dc-5e95-810a-7b1d37ccbbfb,"Says Joe Biden plans to mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.",politifact,English,False,1,"2030, Joe Biden, net-zero carbon emissions","['2030', ' Joe Biden', ' net-zero carbon emissions']",3.0,25,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
49842,56206,28676,718,http://data.gesis.org/claimskg/creative_work/f3f162ff-ae2a-5aa9-ae46-84b5cc140932,Biden’s Speech Minimizes Historic US Greenhouse Contribution,polygraph,English,MIXTURE,2,"Biden, Greenhouse, Speech","['Biden', ' Greenhouse', ' Speech']",3.0,7,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
50540,56915,48410,540,http://data.gesis.org/claimskg/creative_work/551620e0-e0dd-5587-98aa-894db2e4b908,Gas prices during the Obama-Biden administration were $5.49 a gallon.,politifact,English,MIXTURE,2,"Biden administration, Gas prices, gallon","['Biden administration', ' Gas prices', ' gallon']",3.0,10,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
50565,56940,55163,7293,http://data.gesis.org/claimskg/creative_work/7d533694-4987-5a00-a7e5-12d363845220,Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.,politifact,English,MIXTURE,2,"Joe Biden, lowest level, strategic petroleum reserve","['Joe Biden', ' lowest level', ' strategic petroleum reserve']",3.0,27,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
